ME   gamma_EE_chiLchiL   gamma_EE_ff   gamma_EE_BB   
150487351.88025144   2.367750916562261   93.92078463525422   294.44836643554777
152756605.823807   2.3325771309456607   92.52555783137244   290.07423077638
155060078.67942458   2.297925864478319   91.15105762003127   285.76507446485147
157398286.44662166   2.2637893549516512   89.79697610029592   281.5199322095451
159771752.90586403   2.230159955467417   88.46300994520833   277.33785305878797
162181009.7358933   2.197030132724807   87.14886033384188   273.2179001876371
164626596.6328297   2.1643924653328863   85.85423288436156   269.1591506880188
167109061.43107036   2.1322396421481153   84.578837588079   265.16069536198626
169628960.22600818   2.1005644606366047   83.32238874448842   261.22163851805306
172186857.49860096   2.0693598252606944   82.08460489726782   257.3410977705516
174783326.24182174   2.0386187458894707   80.8652087712294   253.51820384196876
177418948.0890168   2.008334336232889   79.6639272102064   249.75210036821645
180094313.44419196   1.9784998122992319   78.48049111586556   246.04194370680446
182810021.61427447   1.9491084908753737   77.31463538742447   242.38690274785
185566680.94335732   1.9201537880297357   76.16609886226864   238.78615872790758
188364908.9489802   1.891629217637365   75.03462425744631   235.23890504655165
191205332.4604531   1.8635283899270416   73.91995811203708   231.74434708569788
194088587.75927794   1.8358450100498507   72.82185073037186   228.30170203159372
197015320.7216756   1.8085728766691338   71.7400561261011   224.91019869946808
199986186.96327448   1.7817058805712767   70.67433196708915   221.56907736077164
203001851.98596886   1.7552380032972354   69.62443952113169   218.2775895729965
206062991.32700005   1.729163315794326   68.59014360247657   215.03499801201585
209170290.71028474   1.7034759770880457   67.57121251913938   211.8405763069142
212324446.20002192   1.6781702329736545   66.567418021003   208.69360887727552
215526164.35661614   1.6532404147271917   65.57853524868774   205.59339077288809
218776162.3949552   1.6286809378356175   64.60434268318045   202.53922751582775
222075168.34507486   1.604486300745813   63.64462209621137   199.53043494488566
225423921.2152428   1.5806510836321985   62.69915850136985   196.56633906231278
228823171.15750137   1.5571699471826497   61.767740105945435   193.64627588283852
232273679.6357105   1.5340376314024327   60.8501582634842   190.76959128493095
235776219.5961257   1.5112489544358951   59.94620742704906   187.93564086426477
239331575.6405385   1.4887988114057245   59.05568510317696   185.14378978937395
242940544.20204243   1.4666821732693611   58.17839180651671   182.3934126594377
246603933.7234336   1.4448940856924937   57.31413101514422   179.6838933641911
250322564.83831742   1.4234296679391916   56.4627091265378   177.01462494590402
254097270.55493012   1.4022841117786242   55.62393541421134   174.38500946342324
257928896.44274873   1.3814526804079232   54.79762198498783   171.79445785822193
261818300.8218981   1.3609307073911434   53.98358373691149   169.24238982245134
265766354.95543116   1.340713595613888   53.18163831778128   166.72823366893974
269773943.2444926   1.3207968162535544   52.39160608430391   164.251426203135
273841963.4264361   1.301175907764817   51.61331006185138   161.811412596941
